model,rmse,mae,r2,accuracy,auc
ARIMA,0.01804654559787585,0.01250385312219408,-0.1229312569146647,0.5069047619047619,0.4993702570112051
GARCH,0.023973633517005717,0.017203482750836135,-0.9638244152677735,0.495,0.485699516253852
