model,rmse,mae,r2,accuracy,auc
ARIMA_20d_recursive,0.08500132522859054,0.06376695592937154,-0.04068981297933345,0.62,0.3553822982572983
GARCH_20d_recursive,0.2907087608794307,0.22184838569952953,-11.753181910952534,0.58,0.5587204184704185
